Title,Company,Location,Description,URL
Oncology Data Specialist,Englewood Health,"Remote in Englewood, NJ 07631","Oncology Data Specialists analyze complex patient cancer data, abstract, code and report cancer statistics.
The Oncology Data Specialist must ensure accuracy,…",https://www.indeed.com/viewjob?jk=0d249482c22c5372&from=serp&vjs=3
Data Analyst I,Massachusetts General Hospital(MGH),"Charlestown, MA 02129","Maintain quality control and integrity of neuroimaging and behavioral data by developing, implementing and overseeing data entry and QC protocols.",https://www.indeed.com/viewjob?jk=5ba727253e077e85&from=serp&vjs=3
Data Consultant,Origami Risk LLC,Remote,"Control balancing, data exceptions and data cleanup.
Deploys and configures Origami standard data conversions and builds custom Excel data.",https://www.indeed.com/viewjob?jk=0df9f9229787d468&from=serp&vjs=3
Data Architects-REMOTE,IntrepidLLC,Remote,"Experience in data modeling tools (ARIS preferred).
Experience creating artifacts to capture functional and technical requirements (ex. IDEF1X or Entity…",https://www.indeed.com/viewjob?jk=806594df57308960&from=serp&vjs=3
Data Engineer,The Walt Disney Company (Corporate),"Lake Buena Vista, FL","Daily activities include designing and implementing database schema/tables/views, design and coding of data pipelines, implementing data services API’s,…",https://www.indeed.com/viewjob?jk=04e7e44e096ba8d7&from=serp&vjs=3
"Manager, Data Science (Remote)",KOHLS,"Remote in Menomonee Falls, WI 53051","As Manager, Data Science, you will manage a data science team and work with cross-functional partners to solve business challenges and promote data-driven…",https://www.indeed.com/viewjob?jk=0d0a3a8ee24e927e&from=serp&vjs=3
Processing Clerk,"Yardi Systems, Inc.","Austin, TX","Perform data entry on checks and coupons.
Prior data entry experience with 10,000 kph.
Perform data entry and flag any anomalies for review.",https://www.indeed.com/viewjob?jk=e00b2749cd1c5cc6&from=serp&vjs=3
Business Analyst - Level II,The Leukemia & Lymphoma Society,United States,"Requirements Elicitation - Collaborate with stakeholders to understand business objectives, processes and requirements for internal projects and initiatives.",https://www.indeed.com/viewjob?jk=ea91a9abc5f94798&from=serp&vjs=3
"Design Data Entry PM, DE Electrical",Amazon.com Services LLC,"Herndon, VA","Data entry into existing data analysis tools.
Due to this growth we need a collaborative, organized, and innovative Data Entry Project Manager (PM) for data…",https://www.indeed.com/viewjob?jk=bcdd9ec45e6ae2dc&from=serp&vjs=3
Data Specialist (1.0 FTE) - Ryan White Positive Care (grant-funded),Hennepin Healthcare,"Minneapolis, MN 55415 (Elliot Park area)","Interprets data results and test for validity.
Summarizes results creating graphical and tabular data presentations.",https://www.indeed.com/viewjob?jk=964415dfe91eeaf3&from=serp&vjs=3
"Associate Product Manager, Data Products",Leader Bank,"Remote in Arlington, MA 02474","Passion for building things and/or data.
Analyze data to identify new opportunities to extract business value.
Interviewing internal stakeholders and users.",https://www.indeed.com/viewjob?jk=3a70054b7e48b6e2&from=serp&vjs=3
CapEx Early Engagement - Data Analyst,Apple,"Cupertino, CA",Design data schema and collection methodologies -Build and create data optimization models for manufacturing use cases -Analyze large set of data to identify…,https://www.indeed.com/viewjob?jk=beab5c1a89856f6b&from=serp&vjs=3
Service Accounts Data Entry Coordinator,"Vector Security, INC","Gainesville, VA 20155","As a Service Accounts Data Entry Coordinator, you will conduct information and status updates to third-party software regarding open Service Work Orders, and…",https://www.indeed.com/viewjob?jk=d2ca743e64888139&from=serp&vjs=3
"Data Strategist, Macro",Point72,"New York, NY","We leverage innovative alternative data sources, advanced data analytics and technologies, and deep fundamental research to create high-quality compliant and…",https://www.indeed.com/viewjob?jk=4d36ddd15e5889bc&from=serp&vjs=3
Oncology Data Specialist,Englewood Health,"Remote in Englewood, NJ 07631","Oncology Data Specialists analyze complex patient cancer data, abstract, code and report cancer statistics.
The Oncology Data Specialist must ensure accuracy,…",https://www.indeed.com/viewjob?jk=0d249482c22c5372&from=serp&vjs=3
Data Analyst I,Massachusetts General Hospital(MGH),"Charlestown, MA 02129","Maintain quality control and integrity of neuroimaging and behavioral data by developing, implementing and overseeing data entry and QC protocols.",https://www.indeed.com/viewjob?jk=5ba727253e077e85&from=serp&vjs=3
Data Consultant,Origami Risk LLC,Remote,"Control balancing, data exceptions and data cleanup.
Deploys and configures Origami standard data conversions and builds custom Excel data.",https://www.indeed.com/viewjob?jk=0df9f9229787d468&from=serp&vjs=3
Data Architects-REMOTE,IntrepidLLC,Remote,"Experience in data modeling tools (ARIS preferred).
Experience creating artifacts to capture functional and technical requirements (ex. IDEF1X or Entity…",https://www.indeed.com/viewjob?jk=806594df57308960&from=serp&vjs=3
Data Engineer,The Walt Disney Company (Corporate),"Lake Buena Vista, FL","Daily activities include designing and implementing database schema/tables/views, design and coding of data pipelines, implementing data services API’s,…",https://www.indeed.com/viewjob?jk=04e7e44e096ba8d7&from=serp&vjs=3
"Manager, Data Science (Remote)",KOHLS,"Remote in Menomonee Falls, WI 53051","As Manager, Data Science, you will manage a data science team and work with cross-functional partners to solve business challenges and promote data-driven…",https://www.indeed.com/viewjob?jk=0d0a3a8ee24e927e&from=serp&vjs=3
Processing Clerk,"Yardi Systems, Inc.","Austin, TX","Perform data entry on checks and coupons.
Prior data entry experience with 10,000 kph.
Perform data entry and flag any anomalies for review.",https://www.indeed.com/viewjob?jk=e00b2749cd1c5cc6&from=serp&vjs=3
"Data Analyst, Port Services",Royal Caribbean Group,"Miami, FL 33132 (Port of Miami - Dodge Island area)",Bachelor’s Degree in business data management or other related fields; 1 to 2 years of business analytics experience preferred.,https://www.indeed.com/viewjob?jk=700f1974527a8b7c&from=serp&vjs=3
Data Analyst & Governance Specialist,TwinStar Credit Union,Remote in Washington State,"Experience with data governance tools, data profiling tools, and data quality management processes.
Performs data analytics to extract actionable insights from…",https://www.indeed.com/viewjob?jk=edc0e4e1d6961181&from=serp&vjs=3
"Content Editor, Information Data Operations",Amazon.com Services LLC,"Santa Barbara, CA 93101 (Downtown area)","We do this by increasing the number of questions Alexa can answer, by improving the overall quality of the answers Alexa serves, and by providing stakeholders…",https://www.indeed.com/viewjob?jk=c8f1b113083a40e5&from=serp&vjs=3
Dallas AmeriCorps Data Specialist-URGENTLY HIRING,International Rescue Committee,"Dallas, TX 75206 (M Streets area)","Support direct service staff and program leadership with data quality assurance.
Minimize duplication of data entry across programs and identify gaps and…",https://www.indeed.com/viewjob?jk=674a3e5ee72f7eb0&from=serp&vjs=3
Manager Data Analytics,Capillary Technologies,Minnesota,"Competency manipulating and analyzing complex, high-volume, high-dimensionality data from varying data sources, including relational and unstructured data…",https://www.indeed.com/viewjob?jk=222ef0cd19b98484&from=serp&vjs=3
Employee Data Analyst,Salesforce,"Indianapolis, IN 46204 (Downtown area)","Detail Oriented: Focus on data accuracy and system integrity.
Intermediate Excel experience working with large data sets utilizing advanced formulas and…",https://www.indeed.com/viewjob?jk=46fcbc0f68b253bd&from=serp&vjs=3
Provider Data Analyst,Highmark Health,Pennsylvania,Performs innovative data modeling and routinely partners with data management staff in order to work efficiently and capitalize on data automation opportunities…,https://www.indeed.com/viewjob?jk=71f1f49d14417d51&from=serp&vjs=3
Data Resource Assistant,Carmelite Sisters of the Most Sacred Heart of Los...,"Alhambra, CA 91801","Ensure the integrity of new and existing data through regular data checks and cleaning.
Perform data entry and data cleanup in the Raiser’s Edge database…",https://www.indeed.com/viewjob?jk=9e2797696c01ca67&from=serp&vjs=3
Data Analytics,U.S. Bank National Association,"Cincinnati, OH 45202 (Mount Adams area)","Acquires data from multiple data sources in order to perform analysis.
Responsible for working on big data/analytics projects that gather and integrate large…",https://www.indeed.com/viewjob?jk=2ed11ae5e85f0f58&from=serp&vjs=3
Data & Reporting Analyst,Associated Bank,"Milwaukee, WI","Collaborate with Product Management, Operations Department, or other partners for any data exchange, project requests or other data needs.",https://www.indeed.com/viewjob?jk=feabfdf4d7fe3bc3&from=serp&vjs=3
Graduate Leadership Program - Data Analytics,PMG,"Dallas, TX","Tech Savvy: Proficient in SQL and a knack for analyzing complex data sets.
Our training equips you with the ability to transform data into compelling insights…",https://www.indeed.com/viewjob?jk=077fb7a8759318a8&from=serp&vjs=3
"SQL Data Engineer, Wellmed - ONSITE in San Antonio or Austin, TX",Optum,"Hybrid work in San Antonio, TX 78201","This position is focused on management, analysis, and reconciliation of healthcare data.
The ideal candidate will have experience in healthcare related finance…",https://www.indeed.com/viewjob?jk=ad7888a423e13354&from=serp&vjs=3
Clinical Data Specialist,CEDENT,United States,"Experience with communicating data to the stakeholders.
Supervises all production activities on a project, including data cleaning, CDMS defects and changes,…",https://www.indeed.com/viewjob?jk=6fed1d875c8bf53a&from=serp&vjs=3
Data Scientist,U.S. Department of Justice,"Washington, DC 20002 (NoMa area)",Design and oversee the implementation of a Department data analytics management framework that ensures a modern and sustainable approach to integrating data…,https://www.indeed.com/viewjob?jk=6375878601257fbe&from=serp&vjs=3
Data Manager,University of South Carolina,Remote in South Carolina,"Proven experience in managing longitudinal survey data, including data collection, organization, and analysis.
Part/Full Time Full Time.",https://www.indeed.com/viewjob?jk=45bd5080616ff703&from=serp&vjs=3
Marketing Data Analyst,Land O'Lakes,"Arden Hills, MN","Ownership of all data within internal reporting of key margin data (Margin Master).
Analyze marketing and sales data to develop actionable insights.",https://www.indeed.com/viewjob?jk=92ccae2c1342e549&from=serp&vjs=3
Enterprise Data Analyst II,First Interstate Bank,"Billings, MT","Work closely with end users and management to evolve, improve and automate existing data processes.
Defining problems, collecting data, establishing facts, and…",https://www.indeed.com/viewjob?jk=efacaabb5a797e07&from=serp&vjs=3
Data Analytics/Visualizations Advisor-Irwindale,Southern California Edison,"Irwindale, CA 91010",Two or more years using advanced knowledge of analytics software or Structured Query Language (SQL) for applicable data and basic knowledge of data warehouses.,https://www.indeed.com/viewjob?jk=d59773f16a6e4516&from=serp&vjs=3
Data Integration Specialist,Independence Pet Group,Arizona,"Data Oversight: Ensures data is accurately ingested and integrated, maintaining data integrity.
Familiarity with data governance and quality assurance practices…",https://www.indeed.com/viewjob?jk=57ae5f4c07d450c8&from=serp&vjs=3
